,Hex,Red,Green,Blue,Hue,Saturation,Value,Label
198,#2F847C,0.1843137254901961,0.5176470588235293,0.48627450980392156,0.002739052315863355,0.6439393939393939,0.5176470588235295,33
199,#B2FFFF,0.6980392156862745,1.0,1.0,0.0,0.3019607843137255,1.0,75
200,#4997D0,0.28627450980392155,0.592156862745098,0.8156862745098039,0.046846106481674976,0.6490384615384616,0.8156862745098039,86
201,#DE3163,0.8705882352941177,0.19215686274509802,0.38823529411764707,0.9781523779815177,0.7792792792792793,0.8705882352941177,10
202,#EC3B83,0.9254901960784314,0.23137254901960785,0.5137254901960784,0.9567727288213005,0.7499999999999999,0.9254901960784314,26
203,#007BA7,0.0,0.4823529411764706,0.6549019607843137,0.019369152030840553,1.0,0.6549019607843137,40
204,#2A52BE,0.16470588235294117,0.32156862745098036,0.7450980392156863,0.14033009983067446,0.7789473684210527,0.7450980392156863,80
205,#6D9BC3,0.42745098039215684,0.6078431372549019,0.7647058823529411,0.05852620357053656,0.441025641025641,0.7647058823529411,17
206,#007AA5,0.0,0.4784313725490196,0.6470588235294118,0.019369152030840553,1.0,0.6470588235294118,40
207,#E03C31,0.8784313725490196,0.23529411764705882,0.19215686274509802,0.9987820251299121,0.78125,0.8784313725490196,88
208,#A0785A,0.6274509803921569,0.47058823529411764,0.3529411764705882,0.9493970231495835,0.43749999999999994,0.6274509803921569,74
209,#F7E7CE,0.9686274509803922,0.9058823529411765,0.807843137254902,0.8993177550236464,0.16599190283400808,0.9686274509803922,7
210,#F1DDCF,0.9450980392156862,0.8666666666666667,0.8117647058823529,0.953153893518325,0.14107883817427383,0.9450980392156862,7
211,#36454F,0.21176470588235294,0.27058823529411763,0.30980392156862746,0.04322727117869957,0.31645569620253167,0.30980392156862746,9
212,#232B2B,0.13725490196078433,0.16862745098039217,0.16862745098039217,0.0,0.186046511627907,0.16862745098039217,9
213,#E68FAC,0.9019607843137255,0.5607843137254902,0.6745098039215687,0.9698463103929542,0.3782608695652174,0.9019607843137256,52
214,#DFFF00,0.8745098039215686,1.0,0.0,0.687303296707956,1.0,1.0,59
215,#7FFF00,0.4980392156862745,1.0,0.0,0.5,1.0,1.0,66
216,#DE3163,0.8705882352941177,0.19215686274509802,0.38823529411764707,0.9781523779815177,0.7792792792792793,0.8705882352941177,10
217,#FFB7C5,1.0,0.7176470588235294,0.7725490196078432,0.9890738003669028,0.2823529411764706,1.0,84
